Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,09/03/20,09/04/20,09/05/20,09/06/20,09/07/20,09/08/20,09/09/20,09/10/20,09/11/20,09/12/20,09/13/20,09/14/20,09/15/20,09/16/20,09/17/20,09/18/20,09/19/20,09/20/20,09/21/20,09/22/20,09/23/20,09/24/20,09/25/20,09/26/20,09/27/20,09/28/20,09/29/20,09/30/20
,India,20.593684,78.96288,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,28,30,31,34,39,43,56,62,73,82,102,113,119,142,156,194,244,330,396,499,536,657,727,887,987,1024,1251,1397,1998,2543,2567,3082,3588,4778,5311,5916,6725,7598,8446,9205,10453,11487,12322,13430,14352,15722,17615,18539,20080,21370,23077,24530,26283,27890,29451,31324,33062,34863,37257,39699,42505,46437,49400,52987,56351,59695,62808,67161,70768,74292,78055,81997,85784,90648,95698,100328,106475,112028,118226,124794,131423,138536,144950,150793,158086,165386,173491,181827,190609,198370,207191,216824,226713,236184,246622,257486,265928,276146,286605,297535,308993,320922,332424,343091,354065,366946,380532,395048,410451,425282,440215,456183,473105,490401,508953,528859,548318,566840,585481,604641,625544,648315,673165,697413,719664,742417,767296,793802,820916,849522,878254,906752,936181,968857,1003832,1039084,1077781,1118206,1155338,1193078,1238798,1288108,1337024,1385635,1435616,1480073,1531669,1581963,1634746,1695988,1750723,1803695,1855745,1908254,1964536,2027074,2088611,2153010,2215074,2268675,2329638,2396637,2461190,2525922,2589952,2647663,2702681,2767253,2836925,2905825,2975701,3044940,3106348,3167323,3224547,3310234,3387500,3463972,3542733,3621245,3691166,3769523,3853406,3926395,4010988,4097405,4185683,4275863,4367986,4462094,4558229,4656435,4756758,4859242,4963933,5070881,5180132,5291738,5405748,5522214,5641189,5762728,5886886,6013718,6143283,6275639,6410847,6548968,6690065,6834201,6981443
,Araria,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,11,14,29,29,30,40,41,47,59,62,62,67,73,73,78,79,83,84,85,88,88,89,92,100,103,103,103,103,103,103,103,103,116,116,126,127,127,130,131,133,133,138,138,141,149,157,161,166,180,181,196,213,213,223,247,278,281,300,300,314,314,369,390,420,476,524,553,620,674,703,727,764,797,874,956,1062,1156,1192,1315,1386,1549,1834,1906,1925,1966,2063,2137,2178,2294,2341,2388,2401,2477,2594,2678,2761,2865,2966,2988,3091,3267,3245,3346,3449,3556,3667,3780,3897,4018,4142,4271,4403,4540,4680,4825,4975,5129,5288,5452,5620,5795,5974,6159,6350,6547,6750,6959,7174,7397
,Arwal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,5,5,5,5,5,5,8,11,11,12,12,12,12,12,15,16,17,17,17,21,23,30,33,34,40,41,43,45,48,48,49,50,52,52,54,54,58,59,66,67,70,70,70,73,80,80,81,81,91,91,91,91,95,96,96,101,104,105,110,110,114,117,117,120,125,127,139,144,150,155,166,186,193,202,217,229,242,257,275,292,304,324,359,384,417,432,461,483,502,539,581,595,605,632,660,693,732,776,803,827,861,882,946,977,997,1018,1034,1068,1108,1142,1165,1183,1199,1208,1212,1236,1241,1253,1271,1304,1323,1349,1371,1375,1396,1418,1440,1462,1484,1507,1531,1554,1578,1603,1627,1653,1678,1704,1730,1757,1784,1812,1840,1868,1897,1927,1956,1987,2017,2048,2080
,Aurangabad,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,7,8,8,8,8,13,13,13,13,14,14,14,15,15,17,18,18,18,22,22,22,26,26,26,34,48,50,59,59,62,63,67,67,74,74,74,74,75,81,84,85,85,88,95,114,117,123,129,136,138,141,145,146,168,168,169,174,182,190,193,202,210,219,230,232,261,281,283,287,287,287,294,301,302,302,323,326,338,348,350,359,414,461,494,494,525,529,531,555,603,670,745,854,883,940,1018,1071,1117,1149,1191,1219,1267,1351,1403,1448,1512,1589,1656,1755,1817,1930,1990,2126,2175,2253,2271,2336,2393,2415,2442,2473,2540,2572,2601,2665,2692,2731,2773,2798,2840,2883,2927,2971,3016,3062,3108,3155,3203,3252,3301,3351,3402,3453,3506,3559,3613,3667,3723,3779,3837,3895,3954,4014,4074,4136,4199
,Banka,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,6,6,7,11,15,15,32,40,40,40,51,52,64,70,90,90,105,105,105,111,112,112,118,123,123,127,128,130,132,137,148,150,150,152,168,172,175,176,177,177,184,202,211,212,221,222,223,223,227,227,229,233,238,238,238,240,243,246,257,262,282,288,295,299,302,311,320,335,336,354,371,385,399,401,418,422,431,469,496,526,546,569,616,681,710,755,790,810,868,996,1055,1096,1135,1174,1200,1223,1276,1311,1330,1349,1378,1405,1428,1451,1476,1501,1503,1510,1533,1543,1575,1610,1643,1656,1678,1717,1719,1745,1771,1798,1825,1852,1880,1908,1937,1966,1995,2025,2056,2087,2118,2150,2182,2215,2248,2282,2316,2351,2386,2422,2459,2496,2533,2571
,Begusarai,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,5,6,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,13,13,13,13,14,26,31,31,40,47,47,47,54,55,70,82,82,90,125,130,139,156,157,160,180,180,199,246,247,249,251,254,254,262,262,262,282,282,290,294,299,299,308,322,335,335,347,347,347,348,348,364,374,382,389,398,416,452,459,463,476,476,528,528,528,595,639,639,658,734,813,927,1002,1038,1066,1075,1076,1090,1090,1114,1143,1221,1334,1398,1441,1497,1567,1639,1710,1849,1918,2048,2123,2207,2273,2369,2579,2823,2994,3219,3473,3670,3816,3955,4009,4140,4304,4407,4504,4603,4673,4832,4845,4891,4967,5090,5169,5221,5310,5346,5416,5460,5485,5550,5617,5684,5752,5821,5890,5961,6032,6104,6177,6251,6326,6402,6478,6556,6634,6714,6794,6876,6958,7041,7125,7211,7297,7384,7473,7562
,Bhagalpur,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,11,11,11,12,13,14,14,23,25,26,32,33,33,38,38,42,47,59,59,69,72,78,81,95,95,112,137,141,175,183,191,201,207,217,231,245,248,269,285,295,308,322,326,327,336,341,344,347,351,362,368,371,382,389,407,440,480,486,497,508,536,554,568,590,616,643,693,756,840,915,996,1074,1134,1259,1314,1455,1532,1601,1699,1780,1859,1942,2023,2172,2243,2280,2335,2392,2488,2551,2638,2808,2852,2911,3010,3138,3262,3353,3450,3524,3719,3789,3855,3920,3974,4151,4229,4414,4484,4561,4631,4701,4816,4859,4914,4987,5116,5237,5307,5409,5535,5621,5676,5735,5831,5929,6028,6130,6232,6337,6443,6551,6661,6773,6887,7002,7119,7239,7360,7484,7609,7737,7867,7999,8133,8269,8408,8549,8692,8838,8986
,Bhojpur,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,9,9,11,11,12,18,18,18,18,18,18,18,19,20,20,21,28,29,30,36,36,38,38,38,38,39,39,40,47,47,47,54,66,81,83,89,89,93,93,99,103,111,112,120,129,138,140,146,147,148,150,150,150,150,150,157,159,160,165,166,166,209,219,220,229,233,246,253,273,276,281,288,290,292,292,299,339,372,418,432,486,541,591,677,753,784,806,836,870,987,1089,1166,1252,1413,1489,1571,1623,1673,1757,1820,1910,2000,2075,2194,2303,2386,2464,2559,2631,2712,2783,2835,2873,2939,2997,3058,3083,3151,3222,3271,3291,3347,3376,3407,3432,3511,3554,3575,3629,3644,3687,3731,3776,3820,3866,3912,3958,4005,4053,4101,4149,4199,4248,4299,4350,4402,4454,4507,4560,4614,4669,4725,4781,4837,4895,4953,5012
,Buxar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,6,8,12,16,20,25,25,25,26,40,40,51,53,56,56,56,56,56,56,56,56,56,56,59,59,59,59,62,62,64,64,75,113,114,114,114,114,114,114,115,117,118,118,118,122,122,123,126,130,140,144,145,147,153,154,158,158,158,162,164,200,200,201,205,205,205,210,210,224,226,226,227,227,228,230,232,240,240,244,258,269,274,281,308,309,335,352,374,391,423,427,451,497,517,579,591,643,695,737,831,890,942,1022,1102,1168,1217,1294,1335,1427,1515,1646,1711,1880,2042,2127,2245,2295,2380,2426,2493,2564,2603,2632,2668,2703,2727,2739,2753,2788,2814,2857,2883,2901,2925,2949,2975,2990,3016,3042,3068,3095,3122,3149,3176,3204,3231,3259,3287,3316,3345,3374,3403,3432,3462,3492,3522,3553,3583,3615,3646,3677,3709,3741,3774
,Darbhanga,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,5,5,9,9,11,14,16,16,16,16,16,16,16,16,22,22,31,40,40,53,65,69,69,69,87,88,104,104,115,117,125,130,130,130,135,135,141,142,148,149,164,168,169,191,205,216,249,266,267,272,281,282,286,286,305,306,311,316,337,351,356,383,384,392,396,401,402,402,405,420,429,451,462,479,494,521,540,545,567,589,616,667,715,741,762,780,837,885,952,998,1042,1091,1131,1172,1213,1272,1317,1353,1411,1519,1633,1702,1737,1794,1837,1892,1928,1961,2019,2057,2086,2113,2146,2167,2206,2242,2271,2289,2332,2363,2382,2415,2448,2482,2516,2551,2587,2622,2659,2695,2733,2771,2809,2848,2887,2927,2968,3009,3051,3093,3136,3179,3223,3268,3313,3359,3405,3452
