Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,06/21/20,06/22/20,06/23/20,06/24/20,06/25/20,06/26/20,06/27/20,06/28/20,06/29/20,06/30/20,07/01/20,07/02/20,07/03/20,07/04/20,07/05/20,07/06/20,07/07/20,07/08/20,07/09/20,07/10/20,07/11/20,07/12/20,07/13/20,07/14/20,07/15/20,07/16/20,07/17/20,07/18/20
,Ireland,53.1424,-7.6921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,6,18,18,19,21,34,43,43,90,129,129,169,223,292,557,683,785,906,1125,1329,1564,1819,2121,2415,2615,2910,3235,3447,3849,4273,4604,4994,5364,5709,6074,6574,8089,8928,9655,10647,11479,12547,13271,13980,14758,15251,15652,16040,16671,17607,18184,18561,19262,19648,19877,20253,20612,20833,21176,21506,21772,21983,22248,22385,22541,22760,22996,23135,23242,23401,23827,23956,24048,24112,24200,24251,24315,24391,24506,24582,24639,24698,24735,24803,24841,24876,24929,24990,25062,25066,25111,25142,25163,25183,25201,25207,25215,25231,25238,25250,25295,25303,25321,25334,25341,25355,25368,25374,25377,25389,25400,25412,25424,25436,25448,25460,25472,25484,25496,25508,25520,25532,25543,25555,25567,25579,25591,25603,25615,25627,25639,25651,25663,25675,25687,25699
,Lagos,,,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626,16626
,Clare,52.85,-9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,12,25,26,31,34,34,40,45,49,50,54,54,60,65,66,68,69,85,88,98,106,113,119,136,151,153,160,164,165,187,206,207,209,212,229,232,232,236,237,240,245,249,254,281,299,303,303,305,306,308,308,312,314,314,315,315,315,315,319,319,321,322,322,322,322,322,323,323,360,368,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
,Cavan,53.99,-7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,9,11,19,24,31,36,39,41,67,76,115,123,129,132,151,169,210,222,245,254,310,345,353,386,401,403,430,466,506,536,574,609,627,634,634,644,656,673,682,694,709,710,730,748,752,753,757,765,767,774,776,781,788,800,802,804,804,815,824,825,827,829,833,833,833,834,839,844,844,846,854,858,858,858,858,858,858,859,860,860,860,860,860,860,860,859,859,859,859,859,859,859,859,859,859,859,860,860,860,860,860,860,860,860,860,860,860,860,860,860,860,861,861
,Cork,51.92,-8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,123,133,154,171,184,208,217,238,255,272,292,304,343,362,421,431,472,503,581,648,730,780,829,916,945,979,1028,1047,1053,1077,1087,1096,1103,1110,1125,1126,1136,1146,1154,1156,1164,1175,1177,1192,1197,1199,1205,1207,1232,1234,1238,1249,1256,1346,1352,1361,1372,1376,1386,1398,1420,1428,1438,1440,1451,1458,1464,1472,1477,1514,1517,1517,1521,1527,1528,1529,1529,1529,1531,1532,1533,1533,1533,1533,1533,1535,1535,1535,1534,1534,1535,1535,1535,1536,1536,1537,1537,1537,1538,1538,1539,1539,1539,1540,1540,1541,1541,1541,1542,1542,1543,1543,1543,1544,1544,1545
,Carlow,52.73,-6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,6,12,12,12,15,16,19,22,32,38,44,53,59,59,69,71,78,79,80,84,86,88,91,92,93,95,95,100,100,126,127,127,132,132,133,136,139,141,141,143,143,144,144,146,147,148,149,150,151,151,152,152,152,152,154,155,158,166,166,166,166,169,169,169,169,169,169,169,169,169,170,171,171,171,171,171,173,171,171,171,172,172,172,173,173,173,174,174,174,175,175,175,176,176,176,177,177,177,178,178,178,179,179,179,180
,County Dublin,53.39,-6.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,535,659,774,922,1070,1233,1393,1487,1645,1838,2077,2251,2490,2692,3061,3268,3557,3873,4156,4514,5006,5438,5850,6337,6567,6934,7379,7666,7781,7905,8216,8729,9010,9224,9532,9624,9751,9967,10170,10277,10406,10561,10670,10734,10840,10885,10948,11068,11175,11235,11242,11308,11557,11557,11666,11693,11759,11762,11765,11794,11830,11873,11876,11894,11961,11996,12023,12031,12042,12052,12090,12093,12109,12118,12127,12139,12158,12159,12163,12167,12172,12179,12210,12213,12228,12235,12239,12248,12248,12256,12265,12274,12282,12291,12300,12308,12317,12326,12334,12343,12352,12360,12369,12378,12387,12395,12404,12413,12421,12430,12439,12448,12456,12465,12474,12483
,Donegal,54.92,-7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,11,12,15,15,24,36,46,63,68,77,80,81,103,114,120,125,145,167,188,225,264,296,320,352,369,376,383,392,416,431,440,443,446,452,453,454,456,458,459,461,465,466,467,469,469,469,469,472,474,474,474,474,474,475,475,477,477,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478
,Galway,53.36,-8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,35,40,45,57,63,68,77,86,88,91,98,105,108,112,128,134,134,160,169,178,197,220,237,260,266,273,283,294,294,309,315,331,332,332,335,343,351,355,355,357,365,365,369,375,380,381,382,388,392,400,402,405,408,412,418,432,438,445,445,451,455,458,461,461,464,473,476,476,478,480,482,482,482,482,482,482,482,483,483,485,485,485,486,486,486,486,486,486,485,485,485,485,485,486,486,486,486,486,486,486,486,486,486,487,487,487,487,487,487,487,487,487,488,488,488,488
,Kildare,53.19,-6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,34,39,45,56,61,64,66,80,90,103,136,152,175,200,233,253,290,332,360,404,443,509,567,621,684,763,817,822,851,875,954,1003,1028,1127,1147,1162,1193,1215,1226,1242,1268,1280,1289,1302,1312,1317,1324,1331,1337,1344,1348,1352,1357,1361,1367,1379,1379,1381,1383,1387,1392,1393,1395,1408,1414,1416,1416,1416,1417,1419,1419,1419,1419,1423,1423,1423,1424,1424,1426,1426,1426,1432,1434,1434,1435,1436,1439,1437,1439,1440,1442,1443,1444,1446,1447,1449,1450,1452,1453,1454,1456,1457,1459,1460,1462,1463,1465,1466,1468,1469,1470,1472,1473,1475,1476
