Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20,08/25/20,08/26/20,08/27/20,08/28/20,08/29/20,08/30/20,08/31/20,09/01/20,09/02/20,09/03/20,09/04/20,09/05/20,09/06/20,09/07/20,09/08/20,09/09/20,09/10/20,09/11/20,09/12/20,09/13/20,09/14/20,09/15/20,09/16/20
,Afghanistan,33.93911,67.709953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,7,7,7,11,16,21,22,22,22,24,24,40,40,74,84,94,110,110,120,170,174,237,273,281,299,349,367,423,444,484,521,555,607,665,714,784,840,906,933,996,1026,1092,1176,1279,1351,1463,1531,1703,1828,1939,2171,2335,2469,2704,2894,3224,3392,3563,3778,4033,4402,4687,4963,5226,5639,6053,6402,6664,7072,7653,8145,8676,9216,9998,10582,11173,11831,12456,13036,13659,14525,15205,15750,16509,17267,18054,18969,19551,20342,20917,21459,22142,22890,23546,24102,24766,25527,26310,26874,27532,27878,28424,28833,29157,29481,29640,30175,30451,30616,30967,31238,31517,31836,32022,32324,32672,32951,33190,33384,33594,33908,34194,34366,34451,34455,34740,34994,35070,35229,35301,35475,35526,35615,35727,35928,35981,36036,36157,36263,36368,36471,36542,36675,36710,36710,36747,36782,36829,36896,37015,37054,37054,37162,37269,37345,37424,37431,37551,37596,37599,37599,37599,37552,37580,37608,37636,37665,37693,37721,37749,37778,37806,37834,37863,37891,37920,37948,37977,38005,38034,38062,38091,38119,38148,38177,38205,38234,38263,38291,38320
,Angola,-11.2027,17.8739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,5,7,7,7,8,8,8,10,14,16,17,19,19,19,19,19,19,19,19,19,19,24,24,24,24,25,25,25,25,26,27,27,27,27,30,35,35,35,36,36,36,43,43,45,45,45,45,48,48,48,48,50,52,52,58,60,61,69,70,70,71,74,81,84,86,86,86,86,86,86,88,91,92,96,113,118,130,138,140,142,148,155,166,172,176,183,186,189,197,212,212,259,267,276,284,291,315,328,346,346,346,386,386,396,458,462,506,525,541,576,607,638,687,705,749,779,812,851,880,916,932,950,1000,1078,1109,1148,1164,1199,1280,1344,1395,1483,1538,1572,1672,1679,1735,1762,1815,1852,1879,1906,1935,1966,2015,2019,2055,2093,2131,2170,2209,2250,2291,2332,2375,2418,2462,2507,2553,2599,2646,2695,2744,2794,2845,2896,2949,3003,3058,3113,3170,3228,3287
,Azerbaijan,40.1431,47.5769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,6,9,9,9,11,11,11,15,15,23,28,28,28,44,44,53,65,72,87,93,122,165,182,209,273,298,359,400,443,521,584,641,717,822,926,991,1058,1098,1148,1197,1253,1283,1340,1373,1398,1436,1480,1518,1548,1592,1617,1645,1678,1717,1766,1804,1854,1894,1932,1984,2060,2127,2204,2279,2422,2519,2589,2693,2758,2879,2980,3138,3274,3387,3518,3631,3749,3855,3982,4122,4271,4403,4568,4759,4989,5246,5494,5662,5935,6260,6522,6860,7239,7553,7876,8191,8530,8882,9218,9570,9957,10324,10662,10991,11329,11767,12238,12729,13207,13715,14305,14852,15369,15890,16424,16968,17524,18112,18684,19267,19801,20324,20837,21374,21916,22464,22990,23521,24041,24570,25113,25672,26165,26636,27133,27521,27890,28242,28633,28980,29312,29633,30050,30446,30858,31221,31560,31878,32157,32443,32684,32910,33103,33247,33376,33481,33568,33647,33731,33824,33915,34018,34107,34219,34343,34474,34620,34653,34766,34880,34994,35109,35224,35339,35455,35571,35688,35805,35922,36040,36158,36276,36395,36514,36634,36754,36875,36995,37117,37238,37360,37483,37605,37729,37852
,Bahrain,26.0275,50.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,33,33,36,41,47,49,49,52,55,60,85,85,95,110,195,195,195,210,214,214,228,256,278,285,305,334,377,392,419,458,466,476,499,515,567,569,643,672,688,700,756,811,823,887,925,1040,1136,1361,1528,1671,1700,1740,1773,1881,1907,1973,2027,2217,2518,2588,2647,2723,2811,2921,3040,3170,3284,3383,3533,3720,3934,4199,4444,4774,4941,5236,5531,5816,6198,6583,6747,6956,7184,7532,7888,8174,8414,8802,9138,9171,9366,9692,10052,10449,10793,11398,11871,12311,12815,13296,13835,14383,14763,15417,15731,16200,16667,17269,17713,18227,19013,19553,19961,20430,20916,21331,21764,22407,23062,23570,24081,24805,25267,25705,26239,26758,27414,27837,28410,28857,29367,29821,30321,30931,31528,32039,32470,32941,33476,34078,34560,35084,35473,36004,36422,36936,37316,37637,37996,38458,38747,39131,39482,39921,40311,40755,40982,41190,41536,41835,42132,42514,42889,43307,43629,44011,44397,44804,45264,45726,46052,46430,46835,47185,47581,47950,48284,48679,49078,49480,49885,50294,50706,51121,51540,51962,52388,52817,53249,53686,54125,54569,55016,55466,55921,56379,56840,57306,57775,58249,58726,59207,59692,60181
,Belarus,53.7098,27.9534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,6,6,6,6,6,9,9,12,27,27,27,36,36,51,51,69,76,76,81,81,86,86,94,94,94,152,152,163,304,351,440,562,700,861,1066,1486,1981,2226,2578,2919,3281,3728,4204,4779,5297,5807,6264,6723,7281,8022,8773,9590,10463,11289,12208,13181,14027,14917,15828,16705,17489,18350,19255,20168,21101,22052,22973,23906,24873,25825,26772,27730,28681,29650,30572,31508,32426,33371,34303,35244,36198,37144,38059,38956,39858,40764,41658,42556,43403,44255,45116,45981,46868,47751,48630,49453,50265,51066,51816,52520,53241,53973,54680,55369,56032,56657,57333,57936,58505,59023,59487,59945,60382,60713,61095,61475,61790,62118,62424,62698,62997,63270,63554,63804,64003,64224,64411,64604,64767,64932,65114,65269,65443,65623,65782,65953,66095,66213,66348,66521,66688,66846,67002,67132,67251,67366,67518,67665,67808,67946,68067,68166,68250,68376,68503,68614,68738,68850,68947,69005,69102,69203,69308,69308,69516,69589,69673,69801,69829,69926,70024,70121,70219,70317,70415,70513,70612,70710,70809,70908,71006,71105,71205,71304,71403,71503,71603,71703,71803,71903,72003,72103,72204,72305,72406,72507
,Burma,21.9162,95.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,14,15,15,20,20,21,21,22,22,22,23,27,38,41,62,63,74,85,88,98,111,119,121,123,139,144,146,146,146,150,150,151,151,151,155,161,161,161,176,177,178,180,180,180,181,181,182,182,184,191,193,199,199,199,201,201,203,206,206,206,207,224,224,228,232,233,236,236,240,242,244,246,248,260,261,261,261,262,262,262,286,286,287,290,291,292,293,293,293,296,299,299,299,303,304,306,313,313,316,316,317,321,326,330,331,336,337,337,339,339,340,341,341,341,343,343,346,348,350,350,351,351,353,353,353,353,355,356,357,357,359,359,360,360,360,361,369,374,374,375,376,376,394,376,379,382,385,388,391,395,398,401,404,407,410,413,417,420,423,427,430,433,437,440,444,447,451,454,458,461,465
,Burundi,-3.3731,29.9189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,42,42,42,42,42,42,42,42,42,42,42,42,63,63,63,63,63,63,63,83,83,83,83,83,85,85,85,85,85,104,104,104,104,104,144,144,144,144,144,144,170,170,170,170,170,170,191,191,191,191,191,191,191,191,191,191,269,269,269,303,310,310,310,322,328,328,345,345,361,361,378,378,387,387,387,395,395,395,395,395,400,400,405,408,408,408,409,410,412,412,413,413,416,422,416,417,419,420,422,424,425,427,429,430,432,433,435,437,438,440,442,443,445,447,448,450,452,454,455,457,459,461
,Cambodia,11.55,104.9167,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,5,7,7,7,33,35,37,51,53,84,87,91,96,96,99,99,103,107,109,109,110,114,114,114,114,115,117,119,119,120,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,123,123,124,124,124,124,124,124,124,125,125,125,125,125,125,125,125,126,126,126,126,126,126,128,128,128,128,128,129,129,129,129,130,130,130,130,139,141,141,141,141,141,141,141,141,141,141,141,141,141,141,156,156,165,165,166,171,171,171,171,171,197,198,202,202,225,225,226,226,226,234,239,240,240,240,243,243,243,246,248,251,251,268,272,273,273,273,273,273,273,273,268,268,269,269,270,270,271,271,272,272,273,273,273,274,274,275,275,276,276,277,277,278,278,278,279,279,280,280
,Cameroon,3.8480000000000003,11.5021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,4,10,10,13,20,27,40,56,66,75,75,91,91,139,139,193,233,306,509,555,650,658,658,730,730,820,820,820,820,848,848,996,996,1017,1017,1163,1163,1163,1334,1430,1518,1621,1705,1705,1832,1832,1832,2077,2077,2104,2104,2265,2267,2267,2274,2579,2689,2689,2800,2954,3105,3105,3105,3529,3529,3733,4288,4400,4400,4890,4890,5436,5436,5436,5436,5904,5904,6397,6585,6585,6789,7392,7599,7908,8060,8312,8681,8681,8681,8681,8681,9864,9864,9864,9864,10638,11610,11892,12041,12270,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,14916,14916,14916,14916,15173,15173,15173,15173,15173,16157,16157,16157,16157,16157,16522,16522,16522,16708,16708,16708,17110,17179,17255,17255,17255,17255,17255,17255,17718,17718,17718,17718,18042,18042,18042,18213,18263,18308,18469,18469,18469,18582,18599,18624,18606,18653,18700,18747,18794,18841,18889,18936,18984,19031,19079,19127,19175,19223,19272,19320,19369,19417,19466,19515,19564,19613,19662,19712,19761,19811,19861,19911
Anhui,China,31.8257,117.2264,1,9,15,39,60,70,106,152,200,237,297,340,408,480,530,591,665,733,779,830,860,889,910,934,950,962,973,982,986,987,988,989,989,989,989,989,989,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,990,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991,991
