Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,07/15/20,07/16/20,07/17/20,07/18/20,07/19/20,07/20/20,07/21/20,07/22/20,07/23/20,07/24/20,07/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20
,US,40.0,-100.0,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,15,15,15,16,16,24,30,53,73,104,174,222,337,451,519,711,1109,1561,2157,2870,2968,4360,6141,8917,14157,19479,25825,33761,43850,54112,66055,84091,102276,122069,141205,162707,188724,214205,244610,276547,309699,337573,367215,397992,429686,464442,497943,527969,556522,581813,608878,637974,669272,701996,730337,756375,783716,809228,837422,871617,907908,940829,968518,990999,1015518,1042926,1072667,1106829,1136024,1161611,1184086,1208271,1233527,1261409,1288587,1314320,1334084,1352962,1374916,1396109,1423726,1449026,1474127,1493131,1514900,1535349,1558970,1584511,1608652,1630475,1651288,1670279,1689162,1707444,1730259,1754763,1778993,1799122,1816476,1837371,1857329,1878680,1903904,1926636,1944367,1961781,1979908,2000702,2023652,2048986,2074542,2094366,2114026,2137731,2163290,2191099,2222579,2255327,2281766,2312302,2347491,2382426,2422299,2467554,2510259,2549294,2590668,2636414,2687588,2742049,2795361,2841241,2891124,2936077,2996098,3054699,3117946,3184573,3245925,3304942,3364157,3431574,3488759,3555196,3622899,3691891,3762197,3833842,3906851,3981250,4057066,4134326,4213058,4293288,4375047,4458362,4543264,4629783,4717949,4807795,4899351,4992651,5087727,5184615,5283347,5383959,5486488,5590968,5697439,5805937
,Anderson,36.12684348,-84.19965764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,5,6,6,10,10,10,10,10,10,10,11,11,11,11,12,12,15,15,15,16,16,16,16,16,21,21,23,24,24,25,25,26,27,28,28,28,28,30,30,30,31,31,31,31,33,34,35,35,36,36,36,37,37,37,37,37,39,39,39,40,40,40,40,40,40,40,41,41,42,42,45,47,48,50,54,55,59,60,60,60,65,66,69,74,74,74,75,78,79,81,89,90,90,97,102,104,105,116,134,142,144,155,166,178,189,195,200,211,219,221,232,242,253,265,277,290,303,317,332,347,363,380,397,415,434,454,475,497,520,543,568,595,622,650,680,711,744
,Bedford,35.51123746,-86.45549096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,6,6,8,8,8,10,12,14,15,17,20,23,25,25,33,40,48,71,76,105,105,130,138,150,159,165,167,169,173,184,193,200,200,201,212,217,222,231,237,238,239,246,248,248,251,252,254,257,257,262,263,264,265,269,269,270,274,283,283,283,283,295,295,297,302,314,325,332,341,346,372,376,379,379,379,392,403,404,416,428,430,432,436,445,451,463,482,482,502,513,520,520,545,559,570,570,584,589,595,598,623,624,630,635,634,641,649,657,665,673,681,689,697,705,714,722,731,740,749,758,767,776,785,794,804,814,823,833,843,853,863,874
,Benton,36.07110411,-88.06849355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,12,12,12,12,12,12,12,12,13,13,13,13,13,13,15,15,15,15,16,17,16,16,17,17,18,18,19,19,20,20,21,22,22,23,24,24,25,26,26,27,28,29,30,31,31,32,33,34
,Bledsoe,35.59942968,-85.20611967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,8,8,8,8,8,8,9,10,11,11,351,585,586,588,588,589,592,594,595,596,598,598,601,601,602,604,604,604,604,604,604,604,605,607,607,607,607,607,607,607,607,607,608,608,608,608,608,608,608,608,609,610,610,613,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,614,615,616,616,616,616,616,616,617,618,618,618,619,620,621,623,624,625,627,629,629,631,634,632,634,635,637,638,640,641,643,644,646,647,649,650,652,653,655,656,658,659,661,662,664,665,667,669,670,672,673
,Blount,35.68938198,-83.92847788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,6,9,9,9,25,28,32,33,34,36,38,41,42,44,45,46,46,46,47,47,47,47,47,47,47,47,47,48,49,53,53,54,55,55,56,58,63,63,70,73,73,73,73,73,73,73,73,74,75,75,75,75,76,76,76,77,78,81,82,82,84,89,89,89,91,91,91,93,93,93,93,93,94,94,96,96,97,104,104,104,106,110,115,118,119,127,127,130,139,142,150,152,156,156,162,173,188,205,212,218,227,229,262,272,280,306,340,344,348,358,353,368,383,399,416,433,451,470,489,509,531,553,576,600,624,650,677,706,735,765,797,830,865,901,938,977,1018,1060
,Bradley,35.15739424,-84.857186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,5,6,7,8,8,10,14,18,21,21,21,23,25,28,28,31,31,31,32,33,33,33,35,38,38,38,38,38,38,40,41,43,45,46,48,49,52,52,53,56,59,61,64,68,69,69,72,74,75,80,81,81,82,83,84,84,89,90,91,93,98,99,105,108,113,122,122,122,157,161,166,174,184,199,219,233,238,241,266,272,281,288,302,303,305,314,328,338,349,393,406,421,430,444,444,493,550,580,604,662,674,707,745,773,874,889,925,959,972,1010,1061,1060,1100,1142,1186,1231,1278,1327,1377,1430,1484,1541,1600,1661,1724,1790,1858,1929,2002,2079,2158,2240,2325,2414,2506,2602,2701,2804,2911
,Campbell,36.40355516,-84.15108559999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5,6,6,9,10,10,10,11,12,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,15,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,22,24,24,24,25,25,26,26,26,26,26,27,27,28,29,31,31,31,36,39,41,44,48,48,51,54,62,65,67,69,70,72,75,73,76,79,82,85,88,91,94,98,101,105,109,113,117,121,126,130,135,140,145,150,156,161,167,173,179,186,193
,Cannon,35.80990797,-86.05738983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,10,10,10,10,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,16,17,17,17,17,17,17,21,21,21,31,32,32,32,32,32,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,36,37,37,37,41,45,46,49,50,58,60,58,61,65,68,72,77,81,86,91,96,101,107,113,120,127,134,142,150,158,167,177,187,198,209,221,234,247,262
,Carroll,35.97366108,-88.45189331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,4,5,5,5,5,5,6,6,7,8,8,8,10,10,10,11,12,12,12,13,13,13,15,15,15,15,15,15,16,16,16,18,18,18,18,18,18,23,23,23,23,23,23,23,23,23,23,23,24,25,25,25,25,25,26,26,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,29,29,34,35,36,36,36,36,36,36,36,36,36,36,36,36,36,38,38,39,39,39,40,44,48,48,48,49,49,51,52,52,52,57,58,55,57,58,59,61,62,64,65,67,69,70,72,74,76,77,79,81,83,85,87,89,91,94,96,98,101,103,106
