Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,07/21/20,07/22/20,07/23/20,07/24/20,07/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20
,Belgium,50.8333,4.469936,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,13,23,50,109,169,200,239,267,314,314,559,689,886,1058,1243,1486,1795,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,11899,12775,13964,15348,16770,18431,19691,20814,22194,23403,24983,26667,28018,29647,30589,31119,33573,34809,36138,37183,38496,39983,40956,41889,42797,44293,45325,46134,46687,47334,47859,48519,49032,49517,49906,50267,50509,50781,51420,52011,52596,53081,53449,53779,53981,54288,54644,54989,55280,55559,55791,55983,56235,56511,56810,57092,57342,57455,57592,57849,58061,58186,58381,58517,58615,58685,58767,58907,59072,59226,59348,59437,59569,59711,59819,59918,60029,60100,60155,60244,60348,60476,60550,60550,60550,60810,60898,61007,61106,61209,61295,61361,61427,61509,61598,61727,61838,62016,62058,62058,62123,62210,62357,62469,62707,62707,62781,62872,63238,63499,63706,63706,64094,63970,64147,64325,64504,64683,64862,65042,65223,65404,65585,65767,65950,66133,66316,66500,66685,66870,67055,67241,67428,67615,67803,67991,68180,68369,68558,68749,68939
,European Union,,,0,0,2,3,3,4,8,10,10,14,19,21,29,30,31,31,32,41,44,44,47,48,49,50,51,51,52,52,53,55,56,56,61,63,78,109,175,237,370,561,773,977,1383,2026,3041,3947,4968,6054,8639,11705,12889,21871,26564,31757,39435,47322,56995,70915,85166,100100,114096,135974,155088,180419,209768,239252,269588,293653,321615,353404,384920,415148,446842,474571,496374,519838,545719,574064,601184,628358,649807,693349,712041,729993,754260,789319,812230,828567,849704,865456,883128,900763,918904,933412,945186,955151,967742,980126,991111,1001907,1012772,1021201,1028534,1035524,1045250,1057971,1068633,1078992,1086204,1092756,1102582,1110630,1118182,1125379,1132609,1138263,1142780,1148321,1155834,1163019,1169351,1176732,1181365,1185565,1189630,1195156,1200563,1207988,1213780,1219676,1223191,1226763,1230685,1236232,1240893,1246069,1251117,1255291,1259082,1263586,1267970,1273011,1278806,1283503,1287384,1291056,1295699,1300870,1307334,1313626,1317668,1320996,1324304,1330217,1335423,1340969,1346441,1350396,1353343,1359228,1363217,1368206,1372788,1377601,1381349,1384203,1389783,1393374,1398226,1403180,1408497,1412949,1416205,1422258,1427128,1432396,1438879,1445735,1450463,1454309,1463899,1464546,1470238,1475952,1481688,1487446,1493226,1499029,1504855,1510703,1516574,1522468,1528385,1534324,1540287,1546273,1552282,1558315,1564371,1570450,1576553,1582680,1588831,1595005,1601204,1607427,1613673,1619945,1626240
,Europe,,,0,0,2,3,3,4,8,10,10,16,21,23,31,32,33,33,35,44,47,47,50,51,52,53,54,54,55,55,56,58,76,118,216,292,400,563,832,1128,1502,2259,2821,3494,4495,5914,7717,9870,12399,15283,18885,24287,28161,39747,47955,56776,67740,79212,93168,112495,132920,154500,174296,201098,225654,256558,292472,328371,365100,394922,427439,464070,501129,537243,574743,608463,635911,664362,695032,728999,762595,796571,825181,875705,900597,925090,956290,999291,1030645,1055815,1086226,1108705,1134652,1161224,1187255,1211079,1231692,1250739,1271369,1292572,1311967,1331902,1352267,1372452,1391446,1409827,1430118,1454586,1477587,1499651,1518058,1535369,1556553,1575737,1593432,1611002,1628781,1643744,1657768,1671506,1688076,1703282,1717982,1733814,1747460,1759609,1771285,1784809,1797952,1813139,1826842,1840709,1852524,1864094,1875761,1889093,1901473,1914739,1927700,1939541,1951135,1962781,1974218,1987160,2000543,2013073,2024449,2035294,2046939,2059214,2072450,2085581,2096110,2105582,2115943,2128066,2139733,2151659,2163353,2173256,2182189,2194066,2203706,2214204,2224946,2235882,2245183,2254078,2265421,2274442,2285266,2296057,2307526,2318302,2327402,2338661,2348518,2359891,2371985,2385353,2396118,2405594,2420228,2427821,2439472,2451179,2462941,2474760,2486636,2498569,2510559,2522607,2534712,2546876,2559098,2571378,2583718,2596116,2608575,2621093,2633671,2646309,2659008,2671768,2684589,2697472,2710417,2723424,2736493,2749625,2762819
,Antwerp,51.2485,4.717499999999999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,11,17,28,39,47,56,64,78,99,132,179,200,224,270,324,379,461,528,591,646,840,1012,1183,1366,1556,1656,1758,1989,2164,2342,2508,2694,2802,2881,3128,3307,3523,3825,4089,4182,4268,4333,4473,4648,4859,4969,5032,5083,5250,5434,5536,5667,5750,5786,5825,5977,6101,6222,6395,6466,6520,6558,6726,6865,7018,7111,7172,7213,7241,7326,7414,7470,7518,7587,7608,7625,7697,7733,7820,7829,7878,7895,7912,7962,7996,8024,8059,8088,8096,8103,8112,8137,8167,8196,8217,8227,8232,8254,8274,8288,8300,8315,8321,8328,8359,8375,8408,8421,8442,8451,8454,8480,8494,8514,8535,8551,8555,8563,8594,8608,8641,8662,8689,8701,8705,8738,8761,8802,8822,8860,8869,8877,8965,9011,9087,9169,9287,9333,9335,9335,9309,9351,9393,9435,9478,9520,9563,9606,9650,9693,9737,9781,9825,9869,9914,9959,10004,10049,10094,10140,10185,10231,10277,10324,10370,10417,10464,10511
,East Flanders,51.041,3.8305,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,16,19,28,44,45,50,56,72,97,128,157,170,189,225,264,317,376,450,489,533,677,832,977,1140,1361,1470,1540,1758,1976,2150,2303,2497,2628,2738,2951,3097,3266,3629,4030,4124,4166,4229,4368,4525,4765,4936,4977,5002,5119,5199,5276,5356,5439,5479,5492,5587,5672,5723,5771,5791,5816,5825,5885,5946,6003,6038,6083,6105,6108,6161,6198,6217,6245,6275,6298,6304,6345,6386,6425,6432,6464,6491,6498,6553,6585,6599,6620,6628,6638,6641,6653,6674,6687,6705,6717,6724,6730,6742,6754,6763,6774,6780,6783,6784,6796,6802,6811,6817,6828,6830,6831,6836,6844,6850,6858,6867,6873,6875,6881,6890,6901,6908,6920,6923,6925,6931,6942,6952,6962,6969,6971,6975,6985,7004,7020,7034,7039,7044,7047,7047,7042,7048,7054,7060,7066,7072,7078,7084,7090,7096,7102,7108,7114,7120,7126,7132,7138,7144,7150,7156,7162,7168,7174,7180,7186,7192,7198,7204
,Flemish Brabant,50.869,4.5375,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,21,27,38,55,72,72,78,92,104,131,162,199,211,238,281,322,383,453,530,577,620,752,857,985,1125,1286,1382,1440,1589,1743,1895,2035,2205,2337,2382,2578,2709,2855,3028,3255,3447,3507,3593,3688,3798,3924,4040,4072,4095,4152,4257,4362,4423,4528,4548,4566,4638,4694,4724,4763,4783,4818,4831,4880,4917,4960,4979,5009,5020,5027,5061,5088,5113,5129,5141,5152,5159,5179,5193,5210,5213,5230,5235,5239,5253,5268,5283,5289,5300,5307,5309,5312,5324,5338,5353,5367,5373,5376,5396,5408,5422,5428,5435,5438,5440,5449,5457,5467,5475,5480,5481,5483,5489,5493,5498,5507,5512,5515,5516,5524,5529,5536,5549,5551,5554,5554,5563,5571,5580,5587,5597,5602,5605,5614,5628,5645,5663,5672,5674,5674,5674,5666,5672,5677,5683,5688,5694,5699,5705,5710,5716,5721,5727,5732,5738,5744,5749,5755,5760,5766,5771,5777,5783,5788,5794,5799,5805,5811,5816
,West Flanders,51.0385,3.034,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,10,11,25,42,46,57,60,63,75,96,120,139,155,195,251,309,382,446,483,529,720,839,987,1143,1328,1405,1467,1671,1837,2003,2176,2320,2406,2446,2669,2822,2994,3280,3623,3820,3871,3924,4064,4177,4360,4511,4567,4600,4732,4882,4961,5062,5117,5135,5153,5224,5279,5334,5389,5414,5445,5460,5594,5665,5714,5783,5846,5873,5883,5980,6046,6102,6155,6220,6248,6266,6298,6342,6385,6398,6442,6460,6462,6498,6527,6547,6574,6599,6601,6605,6610,6624,6640,6664,6672,6678,6680,6697,6713,6721,6729,6734,6739,6743,6766,6784,6813,6833,6858,6864,6868,6888,6904,6921,6924,6943,6950,6956,6979,6991,7010,7019,7033,7039,7052,7065,7079,7104,7124,7137,7149,7162,7197,7217,7252,7274,7311,7322,7324,7324,7314,7329,7343,7357,7372,7386,7401,7415,7430,7444,7459,7473,7488,7503,7517,7532,7547,7561,7576,7591,7606,7621,7636,7651,7666,7681,7696,7711
,Flanders,51.096500000000006,4.228,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,34,47,68,98,157,235,251,290,327,384,491,632,799,875,998,1198,1454,1739,2120,2513,2761,2994,3800,4486,5203,6024,6962,7440,7804,8837,9716,10556,11355,12306,12849,13170,14307,15137,16054,17433,18992,19661,19953,20260,20962,21613,22499,23181,23422,23583,24185,24781,25200,25637,26039,26173,26284,26733,27097,27413,27774,27934,28106,28188,28642,28986,29331,29586,29835,29951,30008,30331,30578,30765,30935,31144,31237,31294,31509,31689,31909,31949,32115,32193,32237,32421,32558,32659,32766,32854,32893,32916,32953,33048,33142,33249,33327,33374,33405,33493,33569,33626,33677,33717,33739,33755,33850,33913,34007,34059,34135,34157,34171,34236,34294,34358,34404,34463,34484,34501,34578,34624,34703,34759,34818,34849,34869,34937,35000,35107,35178,35256,35294,35326,35486,35597,35764,35911,36099,36167,36181,36182,36139,36216,36293,36370,36447,36524,36602,36679,36757,36835,36914,36992,37070,37149,37228,37307,37386,37466,37545,37625,37705,37785,37865,37945,38026,38106,38187,38268
,Walloon Brabant,50.666,4.5555,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,9,10,13,17,18,19,24,27,29,36,49,53,59,76,94,119,145,164,178,201,232,266,287,316,359,374,388,424,452,492,521,565,580,596,644,677,717,769,803,816,821,827,890,922,963,993,1021,1038,1086,1118,1170,1186,1200,1236,1242,1255,1264,1273,1278,1279,1287,1292,1300,1307,1320,1329,1342,1349,1355,1363,1366,1374,1375,1380,1384,1387,1393,1401,1410,1412,1416,1421,1425,1430,1432,1433,1436,1441,1444,1446,1448,1449,1456,1463,1466,1470,1471,1472,1475,1479,1483,1485,1490,1490,1493,1495,1495,1503,1503,1506,1506,1512,1516,1517,1520,1522,1523,1523,1526,1527,1528,1529,1532,1533,1534,1538,1540,1545,1550,1550,1551,1553,1555,1559,1564,1564,1566,1567,1567,1567,1565,1566,1567,1568,1569,1570,1572,1573,1574,1575,1576,1577,1578,1579,1580,1582,1583,1584,1585,1586,1587,1588,1589,1590,1592,1593,1594,1595
,Hainaut,50.3765,3.7270000000000003,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,12,22,26,27,31,43,50,63,91,146,181,211,257,309,386,458,537,595,659,780,910,1024,1136,1287,1391,1499,1653,1886,2008,2125,2321,2394,2472,2685,2829,2987,3248,3480,3534,3572,3622,3806,3949,4163,4330,4548,4610,4776,5077,5177,5335,5405,5448,5485,5572,5619,5649,5717,5733,5778,5787,5830,5875,5940,5977,6040,6068,6078,6115,6169,6198,6231,6276,6286,6292,6320,6340,6393,6401,6421,6433,6441,6504,6519,6542,6568,6574,6577,6581,6587,6605,6620,6627,6647,6652,6659,6672,6690,6708,6726,6737,6741,6742,6762,6771,6784,6789,6796,6804,6804,6837,6848,6860,6872,6886,6890,6894,6899,6912,6926,6936,6947,6957,6957,6963,6967,6974,6980,6989,6994,6997,7016,7034,7049,7068,7087,7092,7096,7096,7091,7100,7108,7117,7125,7134,7143,7151,7160,7169,7177,7186,7195,7203,7212,7221,7230,7238,7247,7256,7265,7273,7282,7291,7300,7309,7317,7326
