Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,09/05/20,09/06/20,09/07/20,09/08/20,09/09/20,09/10/20,09/11/20,09/12/20,09/13/20,09/14/20,09/15/20,09/16/20,09/17/20,09/18/20,09/19/20,09/20/20,09/21/20,09/22/20,09/23/20,09/24/20,09/25/20,09/26/20,09/27/20,09/28/20,09/29/20,09/30/20,10/01/20,10/02/20
,Chile,-35.6751,-71.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,9,9,10,10,13,13,13,20,20,25,35,35,55,88,101,182,228,265,265,461,592,687,801,977,1197,1361,1665,2015,2245,2555,2844,3137,3510,3843,4355,4665,5009,5310,5740,6166,6695,7366,7652,7964,8356,8712,9246,9691,10598,10956,11375,11700,12164,12680,13174,14537,15010,15492,16044,16564,17702,18687,21213,22441,23421,24794,25826,27359,28750,32208,33855,35052,36710,39370,42029,44531,50016,52369,54647,58167,62205,66169,70445,80287,83996,88891,92855,97183,101837,105532,118720,123550,129020,132548,137490,142154,146361,160351,166756,171452,175365,181062,186698,193452,201634,208572,213715,218728,220628,225103,231393,236748,242355,246963,250767,254416,259064,263360,267766,271982,275999,279393,282043,284541,288089,291847,295532,298557,301019,303083,306216,309274,312029,315041,317657,319493,321205,323698,326439,328846,330930,333029,334683,336402,338759,341304,343592,345790,347923,349800,351575,353536,355667,357658,359731,361493,362962,364723,366671,368825,371023,373056,375044,376616,378168,380034,382111,383902,385946,387502,388855,390037,391849,393769,395708,397665,399568,400985,402365,404102,405972,408009,409974,411726,413145,414739,416501,418469,419781,421537,423300,425070,426848,428634,430427,432227,434035,435850,437674,439504,441343,443189,445042,446904,448773,450650,452535,454428,456329,458238,460154,462079,464012,465953,467902,469859
Nuble,Bulnes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,30,30,62,62,62,98,98,143,143,191,191,191,239,239,287,287,335,335,335,389,389,389,389,448,448,448,508,508,508,508,570,570,570,642,642,642,642,719,719,719,799,799,799,799,907,907,907,1039,1039,1039,1039,1177,1177,1177,1337,1337,1337,1337,1506,1506,1506,1684,1684,1684,1684,1873,1873,1873,2070,2070,2070,2070,2271,2271,2271,2476,2476,2476,2476,2712,2712,2712,2712,2949,2949,2949,2949,2949,3200,3200,3200,3455,3455,3455,3455,3723,3723,3723,3723,3723,4017,4017,4017,4325,4325,4325,4325,4656,4656,4656,4992,4992,4992,4992,5336,5336,5336,5695,5695,5695,5695,6077,6077,6077,6475,6475,6475,6475,6919,6919,6919,7377,7377,7377,7377,7860,7860,7860,8351,8351,8351,8351,8870,8870,8870,9408,9408,9408,9408,9965,9965,9965,10545,10545,10545,10545,11152,10720,10878,11038,11200,11365,11532,11702,11874,12049,12226,12406,12589,12774,12962,13153,13347,13543,13743,13945,14150,14358,14570,14784,15002,15223,15447,15674,15905
Nuble,Chillan Viejo,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,35,35,61,61,61,91,91,125,125,165,165,165,209,209,254,254,299,299,299,348,348,348,348,400,400,400,455,455,455,455,510,510,510,565,565,565,565,620,620,620,677,677,677,677,738,738,738,805,805,805,805,877,877,877,968,968,968,968,1065,1065,1065,1165,1165,1165,1165,1272,1272,1272,1387,1387,1387,1387,1513,1513,1513,1643,1643,1643,1643,1812,1812,1812,1812,1987,1987,1987,1987,1987,2175,2175,2175,2375,2375,2375,2375,2588,2588,2588,2588,2588,2820,2820,2820,3060,3060,3060,3060,3319,3319,3319,3595,3595,3595,3595,3879,3879,3879,4165,4165,4165,4165,4454,4454,4454,4745,4745,4745,4745,5042,5042,5042,5347,5347,5347,5347,5662,5662,5662,5981,5981,5981,5981,6319,6319,6319,6671,6671,6671,6671,7053,7053,7053,7471,7471,7471,7471,7914,7594,7707,7822,7938,8056,8176,8297,8420,8546,8673,8802,8933,9065,9200,9337,9476,9617,9760,9905,10052,10201,10353,10507,10663,10822,10983,11146,11312
Nuble,Chillan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114,287,287,527,527,527,818,818,1145,1145,1487,1487,1487,1842,1842,2215,2215,2602,2602,2602,2997,2997,2997,2997,3408,3408,3408,3813,3813,3813,3813,4227,4227,4227,4642,4642,4642,4642,5060,5060,5060,5489,5489,5489,5489,5933,5933,5933,6426,6426,6426,6426,6931,6931,6931,7481,7481,7481,7481,8063,8063,8063,8664,8664,8664,8664,9312,9312,9312,10012,10012,10012,10012,10779,10779,10779,11586,11586,11586,11586,12516,12516,12516,12516,13507,13507,13507,13507,13507,14632,14632,14632,15787,15787,15787,15787,17063,17063,17063,17063,17063,18483,18483,18483,19976,19976,19976,19976,21554,21554,21554,23185,23185,23185,23185,24856,24856,24856,26564,26564,26564,26564,28296,28296,28296,30061,30061,30061,30061,31897,31897,31897,33778,33778,33778,33778,35724,35724,35724,37701,37701,37701,37701,39776,39776,39776,41952,41952,41952,41952,44309,44309,44309,46818,46818,46818,46818,49500,47565,48248,48940,49643,50355,51078,51811,52554,53308,54073,54849,55636,56435,57245,58066,58899,59745,60602,61472,62354,63248,64156,65077,66011,66958,67919,68893,69882
Nuble,Cobquecura,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,4,4,4,6,6,6,6,8,8,8,10,10,10,10,12,12,12,16,16,16,16,34,34,34,52,52,52,52,72,72,72,92,92,92,92,112,112,112,132,132,132,132,152,138,144,150,157,163,170,178,186,194,202,211,220,229,239,249,260,271,283,295,308,321,335,350,365,380,397,414,432
Nuble,Coelemu,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,8,12,12,16,16,20,20,20,24,24,24,24,28,28,28,32,32,32,32,36,36,36,40,40,40,40,44,44,44,48,48,48,48,52,52,52,57,57,57,57,63,63,63,71,71,71,71,89,89,89,110,110,110,110,135,135,135,164,164,164,164,199,199,199,234,234,234,234,284,284,284,284,342,342,342,342,342,404,404,404,466,466,466,466,529,529,529,529,529,595,595,595,665,665,665,665,738,738,738,811,811,811,811,884,884,884,959,959,959,959,1035,1035,1035,1115,1115,1115,1115,1197,1197,1197,1282,1282,1282,1282,1373,1373,1373,1464,1464,1464,1464,1555,1555,1555,1646,1646,1646,1646,1738,1738,1738,1835,1835,1835,1835,1934,1864,1890,1916,1943,1970,1998,2026,2054,2083,2112,2141,2171,2201,2232,2263,2295,2327,2360,2393,2426,2460,2495,2529,2565,2601,2637,2674,2711
Nuble,Coihueco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,13,21,21,21,32,32,43,43,57,57,57,78,78,78,78,102,102,102,127,127,127,127,167,167,167,209,209,209,209,251,251,251,293,293,293,293,338,338,338,388,388,388,388,438,438,438,490,490,490,490,543,543,543,596,596,596,596,649,649,649,703,703,703,703,764,764,764,826,826,826,826,899,899,899,899,978,978,978,978,978,1070,1070,1070,1169,1169,1169,1169,1284,1284,1284,1284,1284,1423,1423,1423,1576,1576,1576,1576,1746,1746,1746,1933,1933,1933,1933,2131,2131,2131,2335,2335,2335,2335,2544,2544,2544,2755,2755,2755,2755,2971,2971,2971,3194,3194,3194,3194,3427,3427,3427,3663,3663,3663,3663,3903,3903,3903,4150,4150,4150,4150,4418,4418,4418,4697,4697,4697,4697,4983,4781,4856,4933,5011,5090,5170,5252,5335,5419,5504,5591,5679,5769,5860,5953,6047,6142,6239,6337,6437,6539,6642,6747,6854,6962,7072,7183,7297
Nuble,Desconocido Nuble,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,20,20,20,20,20,21,21,21,23,23,23,23,26,26,26,34,34,34,34,38,38,38,42,42,42,42,46,46,46,47,47,47,47,49,49,49,50,50,50,50,51,51,51,54,54,54,54,58,58,58,60,60,60,60,73,73,73,78,78,78,78,89,79,82,84,86,89,92,94,97,100,103,106,109,112,115,118,122,125,129,133,136,140,144,149,153,157,162,167,171
Nuble,El Carmen,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,9,9,9,12,12,12,12,15,15,15,18,18,18,18,21,21,21,24,24,24,24,27,27,27,31,31,31,31,35,35,35,40,40,40,40,46,46,46,53,53,53,53,69,69,69,86,86,86,86,111,111,111,138,138,138,138,166,166,166,197,197,197,197,248,248,248,248,306,306,306,306,306,369,369,369,433,433,433,433,501,501,501,501,501,584,584,584,670,670,670,670,760,760,760,852,852,852,852,945,945,945,1043,1043,1043,1043,1145,1145,1145,1248,1248,1248,1248,1356,1356,1356,1459,1459,1459,1459,1562,1562,1562,1665,1665,1665,1665,1770,1770,1770,1877,1877,1877,1877,2001,2001,2001,2137,2137,2137,2137,2278,2177,2213,2250,2288,2327,2366,2406,2446,2487,2529,2571,2614,2658,2703,2748,2794,2841,2889,2938,2987,3037,3088,3140,3193,3246,3301,3356,3413
Nuble,Ninhue,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,8,8,8,12,12,12,12,16,16,16,20,20,20,20,24,24,24,28,28,28,28,32,32,32,36,36,36,36,40,40,40,45,45,45,45,50,50,50,56,56,56,56,62,62,62,72,72,72,72,84,84,84,95,95,95,95,107,107,107,122,122,122,122,141,141,141,141,165,165,165,165,165,198,198,198,232,232,232,232,271,271,271,271,271,312,312,312,353,353,353,353,394,394,394,437,437,437,437,481,481,481,529,529,529,529,577,577,577,627,627,627,627,677,677,677,729,729,729,729,781,781,781,835,835,835,835,890,890,890,945,945,945,945,1000,1000,1000,1055,1055,1055,1055,1110,1071,1086,1101,1116,1132,1148,1163,1180,1196,1212,1229,1246,1263,1281,1299,1317,1335,1353,1372,1391,1410,1430,1450,1470,1490,1511,1532,1553
Nuble,Niquen,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,6,6,6,9,9,9,9,12,12,12,15,15,15,15,18,18,18,21,21,21,21,24,24,24,27,27,27,27,30,30,30,33,33,33,33,37,37,37,46,46,46,46,55,55,55,66,66,66,66,86,86,86,114,114,114,114,146,146,146,187,187,187,187,247,247,247,247,309,309,309,309,309,375,375,375,442,442,442,442,510,510,510,510,510,579,579,579,651,651,651,651,726,726,726,804,804,804,804,888,888,888,975,975,975,975,1065,1065,1065,1156,1156,1156,1156,1248,1248,1248,1343,1343,1343,1343,1457,1457,1457,1575,1575,1575,1575,1699,1699,1699,1835,1835,1835,1835,1972,1972,1972,2113,2113,2113,2113,2260,2156,2195,2234,2275,2315,2357,2400,2443,2487,2532,2577,2624,2671,2719,2768,2818,2869,2920,2973,3027,3081,3137,3193,3251,3309,3369,3429,3491
