Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20
,Costa Rica,9.7489,-83.7534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,9,13,22,23,26,27,35,41,50,69,89,117,134,158,177,201,231,263,295,314,330,347,375,396,416,435,454,467,483,502,539,558,577,595,612,618,626,642,649,655,660,662,669,681,686,687,693,695,697,705,713,719,725,733,739,742,755,761,765,773,780,792,801,804,815,830,843,853,863,866,882,897,903,911,918,930,951,956,984,1000,1022,1047,1056,1084,1105,1157,1194,1228,1263,1318,1342,1375,1461,1538,1612,1662,1715,1744,1796,1871,1939,2058,2127,2213,2277,2368,2515,2684,2836,2979,3130,3269,3459,3753,4023,4311,4621,4996,5241,5486,5836,6485,6845,7231,7596,8036,8482,8986,9546,9969,10551,11114,11534,11811,12361,13129,13669,14600,15229,15841,16344
,Cuba,21.521757,-77.78116700000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,7,11,16,21,35,40,48,57,67,80,119,139,170,186,212,233,269,288,320,350,396,457,515,564,620,669,726,766,814,862,923,986,1035,1087,1137,1189,1235,1285,1337,1369,1389,1437,1467,1501,1537,1611,1649,1668,1685,1703,1729,1741,1754,1766,1783,1804,1810,1830,1840,1862,1872,1881,1887,1900,1908,1916,1931,1941,1947,1963,1974,1983,2005,2025,2045,2083,2092,2107,2119,2133,2173,2191,2200,2205,2211,2219,2233,2238,2248,2262,2273,2280,2295,2305,2309,2312,2315,2318,2319,2321,2325,2330,2332,2340,2341,2348,2353,2361,2369,2372,2380,2395,2399,2403,2413,2420,2426,2428,2432,2438,2440,2444,2445,2446,2446,2449,2462,2466,2469,2478,2495,2532,2555
,Dominican Republic,18.7357,-70.1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,5,5,5,5,5,11,11,11,21,21,34,72,112,202,245,312,392,488,581,719,859,901,1109,1284,1380,1488,1488,1745,1828,1956,2111,2349,2620,2759,2967,3167,3286,3614,3755,4126,4335,4680,4964,5044,5300,5543,5749,5926,6135,6293,6416,6652,6972,7288,7578,7954,8235,8480,8807,9095,9376,9882,10347,10634,10900,11196,11320,11739,12110,12314,12725,13223,13477,13657,13989,14422,14801,15073,15264,15723,16068,16531,16908,17285,17572,17752,18040,18319,18708,19195,19600,20126,20415,20808,21437,22008,22572,22962,23271,23686,24105,24645,25068,25778,26677,27370,27936,28631,29141,29764,30619,31373,31816,32568,33387,34197,35148,36184,37425,38128,38430,39588,40790,41915,43114,44532,45506,46305,47671,48743,50113,51519,52855,53956,54797,56043,57615,59077,60896,62908,64156,64690
,El Salvador,13.7942,-88.8965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5,9,13,13,19,24,30,32,32,41,46,56,62,69,78,93,103,117,118,125,137,149,159,164,177,190,201,218,225,237,250,274,274,298,323,345,377,395,424,446,490,555,587,633,695,742,784,889,958,998,1037,1112,1210,1265,1338,1413,1498,1571,1640,1725,1819,1915,1983,2042,2109,2194,2278,2395,2517,2582,2653,2705,2781,2849,2934,3015,3104,3191,3274,3373,3481,3603,3720,3826,3941,4066,4200,4329,4475,4626,4808,4973,5150,5336,5517,5727,5934,6173,6438,6736,7000,7267,7507,7777,8027,8307,8566,8844,9142,9391,9674,9978,10303,10645,10957,11207,11508,11846,12207,12582,12975,13377,13792,14221,14630,15035,15446
,Guatemala,15.7835,-90.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,6,9,12,17,19,20,21,24,25,28,34,34,36,38,39,47,50,61,61,70,77,87,95,126,137,155,156,167,180,196,214,235,257,289,294,316,384,430,473,500,530,530,557,599,644,688,703,730,763,798,832,900,967,1052,1114,1199,1342,1518,1643,1763,1763,1912,2133,2265,2512,2743,3054,3424,3760,3954,4145,4348,4607,4739,5087,5336,5586,5760,6154,6485,6792,7055,7502,7866,8221,8561,8982,9491,9845,10272,10706,11251,11868,12509,12755,13145,13769,14540,14819,15619,15828,16397,16930,17409,18096,19011,20072,21293,22501,23248,23972,24787,25411,26658,27619,28598,29355,29742,30872,32074,32939,33809,38042,38677,39039,40229,41135,42192,43283,44492,45053,45309,46451
,Haiti,18.9712,-72.2852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,7,8,8,8,8,15,15,15,16,16,18,20,21,24,25,27,30,31,33,33,40,40,41,41,43,44,47,57,57,62,72,72,72,74,76,76,76,81,85,85,88,100,101,101,129,146,151,182,209,209,234,273,310,358,456,533,533,596,734,812,865,865,958,1174,1320,1320,1584,1865,2124,2226,2226,2507,2640,2740,3072,3334,3538,3662,3796,3941,3941,4165,4165,4441,4547,4688,4916,4980,5077,5077,5211,5324,5429,5543,5722,5777,5777,5933,5975,6040,6101,6230,6294,6333,6371,6432,6486,6486,6617,6690,6727,6727,6727,6831,6948,6975,7053,7053,7053,7100,7167,7197,7260,7297,7315,7340,7340
,Honduras,15.2,-86.2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,6,8,9,12,24,24,26,30,30,36,52,68,95,110,139,141,172,219,222,264,268,298,305,312,343,382,392,393,397,407,419,426,442,457,472,477,494,510,519,591,627,627,661,702,738,771,804,1010,1055,1178,1270,1461,1685,1771,1830,1972,2100,2177,2255,2318,2460,2565,2646,2798,2955,2955,3204,3477,3477,3950,4189,4401,4640,4752,4752,5094,5202,5362,5527,5690,5880,5971,6155,6327,6450,6935,7360,7669,8132,8455,8858,9178,9656,10299,10739,11258,12306,12769,13356,13943,14571,15366,15994,17007,18082,18818,19558,20262,21120,22116,22921,23943,24665,25428,25978,26384,27053,27583,28090,28579,29106,30036,30867,31745,32793,33835,34611,35345,36102,36902,37559,38438,39276,39741,40460
,Mexico,23.6345,-102.5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,5,5,6,6,7,7,7,8,12,26,41,53,82,93,118,164,203,251,316,367,405,475,585,717,848,993,1094,1215,1378,1510,1688,1890,2143,2439,2785,3181,3441,3844,4219,4661,5014,5399,5847,6297,6875,7497,8261,8772,9501,10544,11633,12872,13842,14677,15529,16752,17799,19224,20739,22088,23471,24905,26025,27634,29616,31522,33460,35022,36327,38324,40186,42595,45032,47144,49219,51633,54346,56594,59567,62527,65856,68620,71105,74560,78023,81400,84627,87512,90664,93435,97326,101238,105680,110026,113619,117103,120102,124301,129184,133974,139196,142690,146837,150264,154863,159793,165455,170485,175202,180545,185122,191410,196847,202951,208392,212802,216852,220657,226089,231770,238511,245251,252165,256848,261750,268008,275003,282283,289174,295268,299750,304435,311486,317635,324041,331298,338913,344224,349396,356255,362274,370712,378285,385036,390516,395489,402697
,Nicaragua,12.865416,-85.207229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,6,6,6,6,7,7,8,9,9,9,9,9,9,9,10,10,10,10,11,11,12,13,13,13,13,14,14,14,15,15,16,16,16,16,16,16,16,25,25,25,25,25,25,25,254,254,279,279,279,279,279,759,759,759,759,759,759,759,1118,1118,1118,1118,1118,1118,1118,1464,1464,1464,1464,1464,1464,1464,1823,1823,1823,1823,1823,1823,1823,2170,2170,2170,2170,2170,2170,2170,2519,2519,2519,2519,2519,2519,2519,2846,2846,2846,2846,2846,2846,2846,3147,3147,3147,3147,3147,3147,3147,3439,3439,3439,3439,3439,3439,3439,3672
Adjuntas,Puerto Rico,18.180117000000006,-66.754367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,4,4,4,4,4,4,6,6,6,7,12,13,16,16,20,20,21,22,22,23,23,25,27,31,31,33,33,34,36,38,38,39,39,39,39,39,39,40,40,43,43,43,43,43,43,43,43,47,48,50,50,50,50,50,52,58,59,59,60,61,63,63,66,66,66,66,67,68,72,72,72,72,72,73,74,77,77,77
Aguada,Puerto Rico,18.360255,-67.17513100000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,8,8,8,8,8,11,11,12,15,15,15,16,17,17,17,17,17,17,18,19,20,20,20,20,20,20,22,22,22,22,22,27,27,27,27,28,28,28,28,28,28,29,29,29,29,30,30,32,32,33,34,34,34,35,36,36,37,37,48,48,48,50,50,52,54,57,58,60,60,66,67,70,71,75,78,82,84,89,91,92,95
Aguadilla,Puerto Rico,18.459681,-67.12081500000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,12,12,12,12,13,14,14,15,16,16,18,18,18,18,18,20,20,20,20,20,21,21,21,21,21,24,24,27,28,28,29,31,31,31,31,31,31,32,33,33,36,38,39,39,39,43,44,44,46,46,46,52,55,56,57,58,59,69,70,70,72,78,79,82,84,84,85,89,97,102,110,112,120,121,130,135,142,152,156,160
Aguas Buenas,Puerto Rico,18.251619,-66.126806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,26,26,26,27,28,29,30,30,31,31,31,31,31,32,33,34,34,34,34,34,35,37,37,38,38,39,39,43,43,45,45,45,46,47,47,48,50,50,51,52,54,54,55,56,56,56,56,57,57,57,57,58,59,59,59,59,59,59,59,60,63,63,63,64,66,68,69,69,72,72,73,77,80,81,82,83,85,87,91,94,94,97
Aibonito,Puerto Rico,18.131361,-66.264131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,14,14,14,14,15,15,16,17,17,17,17,17,18,18,18,19,19,19,20,20,20,23,23,24,24,25,29,31,32,33,33,33,33,35,35,36,36,36,37,37,38,38,38,39,39,39,41,41,41,41,41,41,42,42,42,42,42,44,45,47,48,48,49,50,51,52,53,53,53,53,55,55,56,60,62,62,64,64,67,70,70,71
Anasco,Puerto Rico,18.287985,-67.120611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,7,8,9,9,9,12,12,12,12,12,12,12,13,14,16,16,16,16,16,20,22,22,22,23,24,24,31,31,34,34,34,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,43,43,44,45,45,45,46,46,46,47,49,60,63,63,66,66,70,75,77,78,83,83,84,85,88,89,92,92,97,97,99,101,103,105
Arecibo,Puerto Rico,18.406631,-66.675077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,47,48,49,49,49,49,49,50,51,51,51,51,51,51,54,55,55,56,58,59,60,60,61,64,64,64,64,77,77,80,81,84,88,93,93,95,101,101,102,103,104,105,108,112,113,113,115,117,119,119,120,122,124,127,128,128,130,132,134,140,140,142,143,147,148,151,162,162,164,167,172,174,182,186,189,193,202,208,224,227,228,229
