Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,06/07/20,06/08/20,06/09/20,06/10/20,06/11/20,06/12/20,06/13/20,06/14/20,06/15/20,06/16/20,06/17/20,06/18/20,06/19/20,06/20/20,06/21/20,06/22/20,06/23/20,06/24/20,06/25/20,06/26/20,06/27/20,06/28/20,06/29/20,06/30/20,07/01/20,07/02/20,07/03/20,07/04/20
,Alberta,53.9333,-116.5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,7,19,19,29,29,39,56,74,97,119,146,195,259,301,359,422,486,542,542,621,661,690,754,969,969,1075,1181,1250,1373,1373,1423,1451,1567,1567,1732,1870,1870,1996,2397,2562,2803,2908,3095,3401,3720,4017,4233,4480,4696,4850,5165,5355,5573,5670,5766,5836,5893,5963,6017,6098,6157,6253,6300,6345,6407,6457,6515,6587,6644,6683,6716,6735,6768,6800,6818,6860,6879,6901,6926,6955,6979,6992,7010,7044,7057,7076,7091,7098,7138,7130,7149,7168,7187,7207,7226,7245,7264,7283,7303,7322,7342,7361,7381,7400,7420,7440,7460,7479,7499,7519,7539,7559,7579,7599,7620,7640,7660
,British Columbia,53.7267,-127.6476,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,9,12,13,21,21,27,32,32,39,46,64,64,73,103,103,186,231,271,424,424,472,617,617,725,725,884,884,970,1013,1013,1121,1174,1203,1203,1266,1266,1291,1336,1370,1445,1445,1490,1490,1517,1561,1575,1618,1647,1647,1724,1795,1824,1853,1948,1948,1998,2053,2087,2112,2145,2171,2171,2224,2232,2255,2288,2315,2330,2330,2353,2360,2376,2392,2407,2428,2428,2444,2446,2467,2479,2507,2517,2517,2530,2541,2550,2558,2562,2573,2573,2597,2601,2623,2632,2632,2632,2627,2634,2642,2649,2656,2663,2670,2677,2684,2692,2699,2706,2713,2721,2728,2735,2743,2750,2757,2765,2772,2780,2787,2795,2802,2810,2817,2825
,Manitoba,53.7609,-98.8139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,8,15,17,17,18,20,20,21,35,36,39,64,72,96,103,127,167,182,182,203,203,217,217,221,230,243,244,246,246,246,250,250,253,254,254,255,257,262,263,267,271,273,273,275,277,281,282,282,283,284,286,286,286,286,287,289,290,290,290,290,290,290,290,290,290,290,292,292,292,292,292,292,294,294,294,295,295,297,298,298,300,300,299,300,301,302,302,303,304,305,305,306,307,308,308,309,310,311,311,312,313,314,315,315,316,317,318,319,319,320
,New Brunswick,46.5653,-66.4619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,6,8,11,11,11,17,17,17,18,18,33,45,51,66,68,70,81,91,91,91,98,103,105,105,108,112,112,114,116,116,117,117,117,117,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,121,121,121,121,121,122,123,126,128,129,132,132,133,135,136,136,136,135,136,136,137,138,139,140,141,141,142,143,144,145,146,147,147,148,149,150,151,152,153,154,155,156,156,157,158
,Newfoundland and Labrador,53.1355,-57.6604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,4,6,9,24,35,35,82,102,120,135,148,152,175,183,195,195,217,226,228,228,232,239,241,242,244,244,247,252,256,257,257,257,257,257,257,257,257,258,258,258,258,258,259,259,259,259,259,259,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
,Nova Scotia,44.681999999999995,-63.7443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,14,15,21,28,41,51,68,73,90,110,122,127,147,173,193,207,236,262,293,310,310,342,407,428,445,474,517,549,579,606,649,675,721,737,772,827,850,865,873,900,915,935,947,959,963,971,985,991,998,1007,1008,1011,1018,1019,1020,1024,1026,1034,1037,1040,1043,1044,1045,1046,1048,1049,1050,1051,1052,1053,1055,1055,1056,1056,1057,1057,1058,1058,1058,1058,1057,1057,1058,1058,1058,1058,1059,1059,1059,1059,1060,1060,1060,1061,1061,1061,1061,1062,1062,1062,1062,1063,1063,1063,1063,1064,1064,1064
,Ontario,51.2538,-85.3232,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,6,6,11,15,18,20,20,22,25,28,29,34,36,41,42,74,79,104,177,185,221,257,308,377,425,503,588,688,858,994,1144,1355,1706,1966,2392,2793,3255,3630,4354,4540,4726,5276,5759,6237,6648,7049,7470,7953,8447,9840,10456,11013,11561,12063,12715,13718,14068,14550,15012,15568,15970,16500,16978,17395,17880,18321,18574,19097,19468,19910,20388,20826,21148,21469,21817,22158,22516,22865,23258,23645,23974,24286,24755,25197,25595,26085,26560,26897,27302,27624,27943,28320,28700,29023,29390,29845,30259,30603,30946,31359,31620,31905,32282,32663,33048,33438,33832,34231,34635,35044,35457,35875,36299,36727,37160,37598,38042,38491,38945,39404,39869,40339,40815,41297,41784,42277,42775,43280,43791
,Prince Edward Island,46.5107,-63.4168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,5,5,9,11,11,18,21,21,22,22,22,22,22,22,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
,Quebec,52.9399,-73.5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,4,4,8,9,17,17,24,50,74,94,121,139,181,219,628,1013,1342,1632,2024,2498,2840,3430,4162,4611,5518,6101,6101,7944,8580,9340,10031,10912,11677,12292,12846,13557,14248,14860,15857,16798,17521,17950,19319,20126,20965,21838,22616,23267,24109,24983,25761,26610,27550,28656,29664,31873,32631,33425,34334,35249,36161,36997,37732,38480,39235,39940,40732,41429,42192,42928,43636,44206,44784,45504,46150,46847,47420,47993,48607,49148,49711,50232,50651,51059,51354,51593,51884,52143,52398,52624,52652,52939,53226,53516,53807,54099,54394,54689,54987,55286,55586,55888,56192,56498,56805,57114,57424,57737,58050,58366,58683,59002,59323,59646,59970,60296,60624,60954
,Saskatchewan,52.9399,-106.4509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,7,7,8,16,20,26,52,66,72,72,95,95,134,156,156,184,193,206,220,220,249,249,260,260,271,285,289,298,300,300,304,305,307,313,315,316,320,326,331,341,349,353,365,366,383,389,415,421,433,467,487,512,531,544,553,564,568,573,577,582,590,591,592,592,599,620,622,627,630,632,634,634,637,639,641,645,646,646,646,647,648,649,650,649,650,651,652,653,654,655,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,674
