Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,07/23/20,07/24/20,07/25/20,07/26/20,07/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20
,Peru,-9.19,-75.0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,11,11,15,28,38,43,86,117,145,234,234,318,363,395,416,480,580,635,671,852,950,1065,1323,1414,1595,1746,2281,2561,2954,4342,5256,5897,6848,7519,9784,10303,11475,12491,13489,14420,15628,16325,17837,19250,20914,21648,25331,27517,28699,31190,33931,36976,40459,42534,45928,47372,51189,54817,58526,61847,65015,67307,68822,72059,76306,80604,84495,88541,92273,94933,99483,104020,108769,111698,115754,119959,123979,129751,135905,141779,148285,155671,164476,170039,178165,178914,183198,187400,191758,196515,199696,203736,208823,214788,214788,220749,229736,232992,237156,240908,244388,247925,251338,254936,257447,260810,264689,268602,272364,275989,279419,282365,285213,288477,292004,295599,299080,302718,305703,309278,312911,316448,319646,322710,326326,330123,333867,337751,341586,345537,349500,353590,357681,362087,366550,370223,374553,378934,383365,387849,392385,396974,401617,406314,411066,415874,420738,425658,430637,435673,440769,445923,451139,456415,461753,467153,472617,478145,483737,489394,495118,500908,506767
,Lima,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,8,9,15,23,30,44,65,80,96,143,196,223,250,283,309,356,441,481,502,587,697,785,982,1053,1216,1383,2021,2361,2864,3492,4238,4861,5682,6701,7226,8189,8854,9646,10509,11128,12009,12844,14241,15823,17218,18551,19850,21266,22225,24242,26001,28537,30325,31672,33627,34812,36996,39458,41782,44236,46288,47729,48332,50651,53670,56484,58729,61120,63489,64764,67693,70543,73465,76505,79930,82807,83744,87696,91726,95898,99560,102725,105272,106627,108629,110506,111439,113327,116005,118487,120026,122209,124698,127420,129384,130998,132881,134304,136252,137758,139265,140793,142012,143410,143971,145565,146993,148536,150268,151870,153056,153728,154659,155976,157161,158168,159455,160610,161614,162886,164377,165264,166315,167910,169018,169934,171355,172707,174456,176263,178007,179642,180677,181953,183593,185269,186272,187797,189334,190884,192446,194022,195610,197211,198826,200453,202094,203749,205417,207098,208794,210503,212226,213963,215715,217481,219261,221056,222866,224690,226529,228384,230253,232138
,Amazonas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,14,19,19,19,27,27,35,46,49,50,53,54,57,64,66,68,74,83,91,105,114,128,165,250,300,302,328,340,351,360,379,383,383,395,406,414,417,440,472,473,493,523,535,589,614,621,625,675,697,716,741,754,767,779,793,807,842,878,927,963,975,1032,1105,1164,1207,1278,1345,1361,1559,1617,1678,1712,1790,1832,1845,1887,1932,2100,2158,2203,2254,2280,2307,2407,2479,2547,2749,2827,2847,2969,3082,3150,3200,3270,3342,3429,3485,3576,3658,3765,4059,4182,4197,4286,4332,4369,4333,4414,4498,4582,4668,4756,4845,4937,5029,5124,5220,5319,5419,5520,5624,5730,5838,5948,6059,6173,6290,6408,6528,6651,6776,6904,7033,7166
,Ancash,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,4,4,4,5,6,6,6,6,11,11,13,13,15,15,24,31,44,70,80,92,108,133,140,159,187,229,266,291,347,357,392,437,467,513,571,627,639,682,780,851,959,1026,1146,1173,1285,1410,1484,1562,1615,1684,1695,1816,1917,2069,2248,2414,2517,2566,2663,2944,3069,3203,3383,3523,3575,3754,3941,4166,4408,4582,4728,4762,4899,5038,5157,5270,5353,5465,5568,5735,5862,5996,6130,6250,6396,6485,6598,6718,6817,6944,7049,7153,7212,7329,7446,7572,7673,7784,7862,7901,8030,8161,8306,8430,8562,8685,8732,8902,9096,9174,9222,9370,9559,9662,9717,9865,9959,10089,10184,10338,10405,10529,10614,10729,10803,10914,11025,11138,11252,11367,11483,11600,11719,11839,11960,12082,12206,12331,12457,12584,12713,12843,12974,13107,13241,13376,13513,13651,13791,13932,14074,14218
,Apurimac,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,6,6,13,23,27,31,37,42,42,43,51,55,60,62,81,86,98,108,121,156,156,161,161,167,170,171,171,171,172,172,175,180,182,184,187,187,189,193,196,196,201,215,224,224,246,248,256,265,274,283,286,292,305,316,334,346,359,364,374,388,393,406,419,422,423,427,428,436,442,446,472,497,503,514,519,527,545,556,556,560,568,574,583,591,596,599,605,616,618,620,634,662,663,664,669,680,692,705,724,726,736,753,763,767,778,790,802,814,826,839,851,864,877,891,904,918,931,945,960,974,989,1004,1019,1034,1050,1066,1082,1098,1115,1131,1148
,Arequipa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,4,4,7,9,10,15,15,15,15,21,26,30,30,37,37,51,60,67,71,76,82,84,96,111,123,136,163,204,216,249,252,280,308,351,407,473,497,501,577,653,764,833,871,902,909,969,1026,1082,1129,1168,1227,1252,1303,1407,1519,1640,1736,1821,1829,1915,2037,2193,2337,2534,2680,2715,2907,3035,3221,3407,3579,3675,3695,3756,3855,3910,3961,4079,4217,4251,4355,4481,4625,4726,4845,5019,5038,5131,5221,5389,5457,5571,5645,5763,5877,6065,6296,6448,6614,6886,6944,7002,7136,7322,7434,7553,7966,8034,8112,8287,8455,8586,8918,9238,9292,9404,9575,9791,9989,10183,10499,10561,10697,11062,11504,11357,11603,11854,12111,12373,12641,12915,13195,13481,13773,14071,14376,14688,15006,15331,15663,16002,16349,16703,17065,17435,17813,18199,18593,18996,19407,19828,20257
,Ayacucho,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,5,5,5,8,10,12,12,12,17,22,26,27,31,31,34,37,38,40,42,47,54,67,85,98,130,151,177,197,202,229,247,270,285,310,321,323,338,357,377,390,440,480,489,504,521,538,560,601,637,643,669,693,746,776,793,844,848,880,907,925,965,983,1012,1022,1063,1095,1115,1153,1190,1250,1258,1318,1346,1387,1429,1506,1527,1539,1573,1618,1663,1692,1722,1749,1760,1792,1835,1867,1915,1940,1988,2002,2050,2092,2149,2181,2252,2302,2325,2364,2441,2516,2606,2708,2812,2837,2936,3006,3101,3147,3234,3323,3415,3509,3607,3706,3809,3914,4022,4134,4248,4365,4486,4610,4738,4869,5003,5142,5284,5430,5580,5734,5893,6056,6223,6395,6572
,Cajamarca,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,5,5,5,5,8,11,17,17,18,19,23,30,40,46,56,63,65,76,85,120,128,150,166,169,180,194,223,271,290,319,332,347,364,374,382,393,399,401,414,436,439,451,471,484,486,506,534,561,580,609,659,666,699,730,750,782,802,819,824,854,877,911,932,984,1027,1040,1083,1127,1174,1224,1291,1345,1368,1412,1426,1483,1532,1580,1632,1647,1721,1792,1883,1958,2038,2100,2129,2186,2278,2341,2496,2583,2693,2790,2935,3085,3207,3263,3438,3603,3704,3780,3909,4018,4104,4176,4352,4416,4481,4577,4663,4702,4801,4902,5005,5110,5217,5327,5439,5554,5670,5790,5912,6036,6163,6292,6425,6560,6698,6839,6983,7130,7279,7433,7589,7749,7912,8078,8248
,Callao,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,5,5,6,6,7,8,10,15,17,18,23,33,34,46,68,74,88,262,310,376,427,554,602,690,996,1034,1345,1428,1527,1627,1743,1850,1928,2302,2734,2857,3016,3140,3311,3378,3608,3808,3997,4252,4367,4581,4676,4877,5147,5400,5729,5953,6138,6180,6392,6708,7059,7384,7694,7909,8017,8255,8637,8986,9368,9796,10142,10214,10623,11119,11629,12144,12502,12752,12894,13082,13269,13423,13636,13875,14141,14239,14516,14729,15147,15474,15765,15964,16114,16242,16336,16563,16806,16986,17122,17205,17330,17419,17505,17680,17886,17993,18023,18091,18235,18289,18341,18408,18469,18503,18576,18741,18832,18946,19060,19137,19198,19251,19311,19453,19606,19765,19895,19913,19966,20062,20184,20187,20278,20368,20459,20551,20643,20735,20828,20921,21015,21109,21204,21299,21394,21490,21586,21682,21779,21877,21975,22073,22172,22271,22371,22471,22572,22673,22774
,Cusco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,6,6,10,10,10,11,17,25,26,34,38,45,49,60,62,63,63,66,68,71,114,114,115,118,119,128,140,155,155,170,177,196,210,213,224,225,239,262,284,318,324,337,339,347,373,423,471,520,531,533,589,622,669,700,706,716,716,723,763,794,835,879,911,917,968,998,1035,1081,1138,1157,1158,1183,1206,1220,1250,1268,1308,1328,1345,1382,1417,1436,1484,1502,1511,1526,1539,1561,1574,1595,1630,1631,1647,1676,1690,1708,1749,1780,1786,1815,1842,1860,1896,1923,1968,1994,2034,2072,2100,2125,2219,2306,2319,2401,2468,2538,2592,2677,2796,2821,2881,3019,3176,3139,3236,3336,3439,3545,3654,3767,3883,4003,4127,4254,4386,4521,4661,4804,4953,5106,5263,5426,5593,5766,5944,6127,6316,6511,6712,6920,7133
,Huancavelica,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,8,9,9,9,9,11,13,14,15,19,25,26,26,28,31,32,36,39,42,56,67,85,98,118,135,203,264,289,301,337,340,345,358,363,364,365,366,371,383,389,394,403,409,455,465,482,506,512,519,531,540,554,564,575,586,589,601,606,635,649,656,667,680,693,709,726,743,756,768,774,788,791,795,798,805,816,820,826,839,858,869,873,894,902,916,923,934,945,959,977,1001,1025,1039,1050,1059,1079,1095,1119,1134,1153,1163,1181,1230,1254,1270,1312,1316,1351,1355,1381,1407,1433,1460,1487,1515,1544,1573,1602,1632,1663,1694,1726,1758,1791,1825,1859,1894,1929,1966,2002,2040,2078,2117,2157,2197,2239
,Huanuco,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,6,6,6,6,6,6,7,10,12,17,24,27,34,38,43,53,67,78,116,136,140,147,157,162,171,180,228,234,254,269,282,301,309,312,316,332,342,353,365,370,383,385,401,414,476,502,525,533,538,555,575,592,602,638,660,667,882,903,935,959,992,1002,1011,1030,1058,1096,1176,1219,1234,1248,1291,1326,1362,1453,1505,1554,1577,1640,1677,1720,1788,1849,1889,1914,1948,1994,2069,2127,2174,2273,2354,2431,2526,2607,2677,2881,3122,3159,3266,3385,3426,3544,3659,3888,4070,4133,4327,4434,4574,4775,4980,5064,5109,5220,5279,5269,5382,5498,5616,5736,5859,5985,6113,6244,6378,6515,6655,6798,6944,7093,7245,7400,7559,7721,7887,8056,8229,8406,8586,8770,8959,9151,9347
,Ica,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,8,8,8,12,17,21,28,37,46,51,66,86,89,116,122,136,159,181,200,204,232,254,286,320,336,366,376,427,519,653,706,743,795,826,896,939,1004,1082,1184,1222,1234,1277,1375,1452,1542,1646,1768,1802,1986,2081,2187,2365,2473,2565,2585,2832,3002,3212,3344,3641,3749,3777,3955,4149,4278,4379,4486,4636,4714,4873,5025,5215,5384,5572,5725,5753,5875,5959,6131,6210,6306,6430,6474,6677,6844,6980,7121,7332,7489,7585,7718,7811,7986,8150,8330,8504,8638,8825,8984,9080,9186,9317,9454,9510,9589,9705,9781,9846,10002,10102,10154,10223,10313,10437,10469,10561,10654,10748,10842,10938,11034,11131,11229,11328,11428,11528,11630,11732,11835,11939,12044,12150,12257,12365,12474,12583,12694,12806,12919,13032,13147,13263
,Junin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,9,9,10,10,11,11,12,12,16,16,18,18,26,26,30,30,43,45,59,61,69,73,82,115,127,155,175,189,194,213,241,261,283,294,309,321,354,397,442,508,534,589,637,686,755,812,875,916,951,969,1013,1051,1125,1154,1202,1245,1253,1355,1396,1441,1480,1534,1572,1593,1644,1697,1787,1855,1931,1979,1994,2041,2108,2154,2185,2213,2263,2304,2390,2448,2546,2636,2705,2774,2829,2890,2946,3043,3128,3167,3252,3279,3371,3447,3509,3611,3696,3778,3863,3979,4047,4121,4203,4324,4399,4561,4746,4845,4900,4926,5064,5264,5378,5416,5565,5633,5777,5930,6055,6107,6172,6270,6366,6398,6497,6597,6699,6802,6907,7014,7122,7232,7344,7457,7572,7689,7808,7928,8051,8175,8301,8429,8559,8691,8826,8962,9100,9241,9383,9528,9675
